1,down and outlaws,12:00,12:40,panhandle
2,whitney,12:00,12:45,sutro
3,marian hill,12:45,13:30,twin peaks
4,lany,12:45,13:35,lands end
5,caveman,13:15,14:00,sutro
6,moon taxi,13:00,14:10,panhandle
7,ra ra riot,14:05,14:55,lands end
8,jidenna,14:10,14:55,twin peaks
9,wet,14:30,15:20,sutro
